Date,Up_4.5_pct,Down_4.5_pct,Up_20_pct,Down_20_pct,Above_20_DMA,Below_20_DMA,Above_50_DMA,Below_50_DMA,Above_200_DMA,Below_200_DMA
2026-01-01,17,3,0,0,435,311,282,463,325,411
2026-01-02,28,1,0,0,514,232,336,409,346,390
2026-01-05,13,7,0,0,498,248,343,402,348,388
2026-01-06,8,7,0,0,438,308,322,423,336,400
2026-01-07,14,2,0,0,433,313,342,403,336,400
2026-01-08,1,33,0,0,287,459,253,492,286,450
2026-01-09,1,21,0,0,200,546,201,544,260,476
2026-01-12,10,9,0,0,182,564,194,552,248,488
2026-01-13,17,1,0,0,199,547,201,545,260,476
2026-01-14,12,3,0,0,206,540,225,521,253,483
2026-01-16,19,8,0,0,201,545,217,529,243,493
2026-01-19,9,13,0,0,159,587,192,554,229,507
2026-01-20,1,86,0,0,87,659,123,623,191,545
2026-01-21,12,21,0,0,75,671,103,643,185,551
2026-01-22,38,7,0,0,117,629,131,615,198,538
2026-01-23,5,73,0,0,74,672,102,644,171,565
2026-01-27,30,16,0,0,100,646,118,628,167,569
2026-01-28,114,5,0,0,164,582,163,583,192,544
2026-01-29,26,21,0,0,148,598,156,590,202,535
2026-01-30,72,23,0,0,224,522,192,554,209,528
2026-02-01,12,92,0,0,138,608,136,610,175,562
2026-02-02,30,5,0,0,188,558,158,588,189,548
2026-02-03,175,1,0,0,395,351,262,484,243,494
2026-02-04,55,23,0,0,469,277,304,442,247,490
2026-02-05,13,20,0,0,422,324,284,462,237,500
2026-02-06,18,17,0,0,419,327,285,461,239,498
2026-02-09,120,2,0,0,558,188,373,373,273,464
2026-02-10,34,8,0,0,584,162,410,336,285,452
2026-02-11,21,16,0,0,564,182,402,344,288,449
2026-02-12,15,30,0,0,535,211,360,386,269,468
2026-02-13,8,39,0,0,414,332,302,444,244,493
2026-02-16,15,22,0,0,412,334,301,445,244,493
2026-02-17,17,2,0,0,453,292,329,417,258,479
2026-02-18,16,1,0,0,470,276,360,386,260,478
2026-02-19,5,10,0,0,367,379,302,444,232,506
2026-02-20,6,5,0,0,354,392,309,437,237,501
2026-02-23,14,8,0,0,357,389,325,421,247,491
2026-02-24,4,29,0,0,306,440,296,450,232,506
2026-02-25,15,5,0,0,341,405,323,423,247,491
2026-02-26,18,2,0,0,331,415,326,420,248,490
2026-02-27,8,23,0,0,256,490,278,468,227,511
2026-03-02,5,61,0,0,159,587,222,524,200,538
2026-03-04,8,101,0,0,90,656,163,583,179,559
2026-03-05,27,5,0,0,138,608,188,558,195,543
2026-03-06,19,5,0,0,127,619,184,562,189,549
